Word & Type	Greek	English translation	dStrongs = Grammar	Dictionary form =  Gloss	editions	Meaning variants	Spelling variants	Spanish translation	Sub-meaning	Conjoin word	sStrong+Instance	Alt Strongs
Mat.1.7#15	Ἀσάφ·	Asa	G760=N-PRI	Ἀσά=Asa	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz		TR+Byz: Ἀσά ;	Asá	Asa»Asa|Asa@1Ki.15.8	#15	G760_A	
Mat.1.8#01	τὸν		G3588=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el	the	#04»05:G2498	G3588_A	
Mat.1.8#02	τὸν		G3588=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el	the	#09»10:G2496	G3588_B	
Mat.1.8#03	δὲ	And	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#12	G1161_A	
Mat.1.8#04	ασα	Asa	G760=N-PRI								G760_A	
Mat.1.8#05	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#13	G1080_A	
Mat.1.8#06	ιωσαφατ	Josaphat	G2498=N-PRI								G2498_A	
Mat.1.8#07	δε	and	G1161=CONJ								G1161_B	
Mat.1.8#08	ιωσαφατ	Josaphat	G2498=N-PRI								G2498_B	
Mat.1.8#09	εγεννησεν	begat	G1080=V-AAI-3S								G1080_B	
Mat.1.8#10	ιωραμ	Joram	G2496=N-PRI								G2496_A	
Mat.1.8#11	δε	and	G1161=CONJ								G1161_C	
Mat.1.8#12	ιωραμ	Joram	G2496=N-PRI								G2496_B	
Mat.1.8#13	εγεννησεν	begat	G1080=V-AAI-3S								G1080_C	
Mat.1.8#14	τὸν Ὀζίαν·	Ozias	G3588/G3604=T-ASM	ὁ=the/this/who / Ὀζίας=Uzziah	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz		Tyn+WH: Ὀζείαν ;	a el Uzías	the Uzziah»Uzziah|Uzziah@2Ki.14.21	#14»15:G3604 #15	G3588_C	
Mat.1.9#01	τὸν		G3588=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el	the	#04»05:G2488	G3588_A	
Mat.1.9#02	τὸν		G3588=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el	the	#09»10:G0881	G3588_B	
Mat.1.9#03	δὲ	And	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#12	G1161_A	
Mat.1.9#04	οζιας	Ozias	G3604=N-NSM								G3604_A	
Mat.1.9#05	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#13	G1080_A	
Mat.1.9#06	ιωαθαμ	Joatham	G2488=N-PRI								G2488_A	
Mat.1.9#07	δε	and	G1161=CONJ								G1161_B	
Mat.1.9#08	ιωαθαμ	Joatham	G2488=N-PRI								G2488_B	
Mat.1.9#09	εγεννησεν	begat	G1080=V-AAI-3S								G1080_B	
Mat.1.9#10	αχαζ	Achaz	G881=N-PRI								G881_A	
Mat.1.9#11	δε	and	G1161=CONJ								G1161_C	
Mat.1.9#12	αχαζ	Achaz	G881=N-PRI								G881_B	
Mat.1.9#13	εγεννησεν	begat	G1080=V-AAI-3S								G1080_C	
Mat.1.9#14	τὸν Ἑζεκίαν·	Ezekias	G3588/G1478=T-ASM	Ἐζεκίας=Hezekiah / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el Ezequías	the Hezekiah»Hezekiah|Hezekiah@2Ki.16.20	#14»15:G1478 #15	G3588_C	
Mat.1.10#01	τὸν		G3588=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el	the	#04»05:G3128	G3588_A	
